Timestamp;ClientName;AccountName;Instrument;Quantity;Price
14:25:03.141077;DEF;DEF_account;MAYBANK.KL;5170;8.73
13:50:30.073079;ABC;ABC_invest;TCS.NS;13;3299.86
14:31:30.749348;GHI;GHI_wealth;067280.KQ;233;44810.46
10:38:42.773842;GHI;GHI_fund;CSL.AX;4437;272.45
13:08:05.674655;VWX;VWX_wealth;0148.HK;6743;28.68
11:25:12.065356;YZZ;YZZ_asset;AIRTEL.NS;4913;875.53
13:19:01.930008;VWX;VWX_account;0700.HK;929;330.65
15:31:09.009671;STU;STU_wealth;000858.SZ;3347;180.94
16:49:07.599946;MNO;MNO_account;051910.KS;407;462380.6
16:14:18.255253;JKL;JKL_fund;601318.SS;10987;47.04
16:51:49.334511;STU;STU_fund;TCS.NS;290;3250.73
14:29:42.929505;GHI;GHI_trading;U11.SI;12881;25.33
16:30:35.336136;MNO;MNO_wealth;051910.KS;247;468201.74
13:49:42.132178;ABC;ABC_invest;0700.HK;4285;338.35
15:26:44.006752;JKL;JKL_asset;CBA.AX;13730;88.19
09:36:42.922418;XYZ;XYZ_invest;601318.SS;3345;47.68
15:18:45.109284;ABC;ABC_fund;002415.SZ;12879;36.66
16:52:59.165805;ABC;ABC_wealth;005930.KS;381;77697.13
11:35:41.349470;DEF;DEF_account;0148.HK;1637;28.51
15:19:51.480321;VWX;VWX_trading;005930.KS;112;76578.77
11:21:52.143927;PQR;PQR_asset;MAYBANK.KL;4125;8.77
10:47:11.643257;VWX;VWX_trading;U11.SI;8071;25.0
16:13:15.347014;JKL;JKL_fund;000660.KS;93;125923.33
12:11:49.558010;ABC;ABC_invest;000660.KS;182;122950.16
