Timestamp;ClientName;AccountName;Instrument;Quantity;Price
10:24:57.901950;PQR;PQR_invest;600036.SS;18357;35.46
09:20:01.329461;STU;STU_asset;BHP.AX;15419;47.17
16:00:48.162866;STU;STU_account;000001.SZ;17107;12.73
13:31:24.140058;DEF;DEF_wealth;AIRTEL.NS;4965;872.57
15:49:12.866267;STU;STU_asset;6758.T;370;12076.69
15:43:52.040891;PQR;PQR_account;AIRTEL.NS;1921;882.17
12:02:40.417459;PQR;PQR_fund;AIRTEL.NS;1931;866.78
14:46:03.134658;JKL;JKL_wealth;2330.TW;1980;591.87
15:02:45.152431;JKL;JKL_account;TCS.NS;97;3300.28
11:18:24.372370;DEF;DEF_invest;067280.KQ;138;43540.58
14:36:03.231289;ABC;ABC_asset;600036.SS;7251;36.3
15:10:32.617956;STU;STU_account;2454.TW;1026;747.53
10:28:35.433448;DEF;DEF_fund;RELIANCE.NS;37;2429.08
13:11:22.232330;VWX;VWX_asset;600519.SS;302;1646.39
11:13:21.569723;DEF;DEF_asset;600036.SS;16591;36.37
11:47:44.727722;ABC;ABC_group;AIRTEL.NS;957;863.69
13:28:15.729883;STU;STU_invest;051910.KS;187;452303.09
11:56:32.791276;STU;STU_asset;MAYBANK.KL;14049;8.64
14:11:01.705951;DEF;DEF_account;067280.KQ;243;43720.09
10:26:22.593281;JKL;JKL_wealth;CBA.AX;6954;85.43
09:25:17.033844;VWX;VWX_wealth;6758.T;221;12084.19
13:54:06.355776;MNO;MNO_invest;TENAGA.KL;4359;9.36
16:05:05.558291;VWX;VWX_fund;002415.SZ;19177;35.71
16:45:20.834541;STU;STU_wealth;067280.KQ;26;43787.3
15:11:13.854655;PQR;PQR_invest;TSLA.US;3229;241.69
15:59:26.755873;PQR;PQR_account;0941.HK;1964;52.53
10:38:06.275763;GHI;GHI_wealth;AIRTEL.NS;3027;861.8
11:52:02.567116;MNO;MNO_group;PTT.BK;19064;36.08
14:05:53.996507;YZZ;YZZ_account;AAPL.US;506;182.56
