Timestamp;ClientName;AccountName;Instrument;Quantity;Price
13:44:16.611571;MNO;MNO_invest;BHP.AX;10273;46.23
13:38:39.644723;JKL;JKL_fund;TENAGA.KL;6489;9.2
14:08:50.108707;PQR;PQR_asset;RELIANCE.NS;428;2418.89
16:37:37.300334;JKL;JKL_trading;035420.KQ;93;181592.94
12:23:11.968513;JKL;JKL_trading;000660.KS;80;120770.67
12:43:13.267870;GHI;GHI_group;000001.SZ;16299;12.5
12:10:23.194884;YZZ;YZZ_asset;TENAGA.KL;9782;9.16
11:27:02.039182;DEF;DEF_asset;9984.TO;477;6427.27
14:56:18.438342;DEF;DEF_wealth;6758.T;437;12230.72
12:16:16.470400;PQR;PQR_fund;AAPL.US;2075;180.75
12:32:35.295148;MNO;MNO_group;CBA.AX;9454;84.67
12:37:04.700285;YZZ;YZZ_invest;0700.HK;3448;318.04
13:11:42.235554;XYZ;XYZ_wealth;000001.SZ;1504;12.46
14:16:28.880350;GHI;GHI_asset;TCS.NS;25;3198.58
16:46:33.856889;DEF;DEF_trading;7203.T;283;2485.33
14:18:58.164749;PQR;PQR_trading;600519.SS;10;1607.86
09:26:21.071088;XYZ;XYZ_fund;RELIANCE.NS;20;2397.41
15:50:39.103832;ABC;ABC_wealth;6758.T;320;12175.13
14:03:36.986258;PQR;PQR_invest;U11.SI;13562;24.59
12:33:07.819271;JKL;JKL_invest;2330.TW;3564;588.92
11:12:53.717075;ABC;ABC_wealth;067280.KQ;439;43460.97
15:12:15.466520;MNO;MNO_trading;035420.KQ;196;184464.88
13:56:32.623614;VWX;VWX_account;CSL.AX;2081;261.22
09:03:27.023245;GHI;GHI_account;0700.HK;1850;325.03
11:41:11.336912;PQR;PQR_wealth;D05.SI;10375;28.0
16:02:16.729386;VWX;VWX_wealth;TSLA.US;959;230.75
11:52:21.949885;JKL;JKL_wealth;RELIANCE.NS;276;2367.2
