Timestamp;ClientName;AccountName;Instrument;Quantity;Price
12:59:33.825870;GHI;GHI_account;MAYBANK.KL;9895;8.48
09:55:10.378315;GHI;GHI_invest;000660.KS;164;120773.85
09:58:56.425708;PQR;PQR_fund;0700.HK;2690;330.99
10:27:57.488185;YZZ;YZZ_asset;0941.HK;3682;52.32
15:18:26.482567;PQR;PQR_trading;AAPL.US;4347;177.55
09:40:48.089853;VWX;VWX_trading;600519.SS;409;1604.59
14:19:03.341154;MNO;MNO_invest;002415.SZ;7138;35.73
09:20:02.624338;STU;STU_wealth;AIRTEL.NS;4509;863.67
10:48:40.572643;PQR;PQR_wealth;PTT.BK;7588;34.98
12:03:09.080627;ABC;ABC_fund;BHP.AX;8125;45.54
12:32:45.086341;GHI;GHI_invest;2454.TW;954;706.31
16:02:16.170177;YZZ;YZZ_group;035420.KQ;164;181001.38
11:43:39.874504;VWX;VWX_trading;601318.SS;7017;46.5
14:10:11.973381;ABC;ABC_group;9984.TO;377;6566.61
10:03:10.352172;VWX;VWX_wealth;AOT.BK;11381;60.62
09:53:17.652166;PQR;PQR_invest;9984.TO;114;6395.54
11:39:55.731516;XYZ;XYZ_trading;CSL.AX;598;264.87
12:41:15.787754;DEF;DEF_asset;002415.SZ;3836;35.56
15:28:51.782012;XYZ;XYZ_wealth;RELIANCE.NS;463;2395.23
13:07:36.434881;XYZ;XYZ_group;000858.SZ;1080;177.9
10:46:23.655633;XYZ;XYZ_invest;2330.TW;1244;587.62
12:14:06.172001;GHI;GHI_group;MAYBANK.KL;17778;8.59
15:34:42.799711;MNO;MNO_invest;D05.SI;1769;27.81
14:29:37.270329;DEF;DEF_account;2330.TW;4650;583.0
09:59:28.324042;MNO;MNO_account;035420.KQ;252;180842.18
14:40:43.875155;JKL;JKL_group;PTT.BK;9627;35.38
12:46:45.768951;STU;STU_trading;000660.KS;38;119923.78
